score,summary,review
5.0,Bella loves them.,My year old Lasa loves these treats and they don't upset her delicate tummy.  They arrived quickly and I plan to order more soon.
1.0,Size Matters,"VERY DISAPPOINTING! Wow... talk about SMALL!!  this is in a 9"" x 9"" box sub divided by four smaller containers.  Very small portions for the large price!  I can get my fruit and nuts in states other than Cali. if this is what everything costs.  Save your money, go to your grocery and make your own fruit/nut tray.  You'll get 3 x's the amount and will look much better."
1.0,Ugh!,Stale Coffee. Foil lid does not stay intact and gets grounds all over...apparently they did not have this issue fixed like they stated.
5.0,"awesome, as long as you adjust the recipe","helped my family go gluten free with me. I have celiac and am extremely sensitive. My family loves it after I tinkered with the recipe. I was way to mushy. The main thing, is take out 1 egg yolk, add a 1/2 teaspoon baking powder and sugar, 1 teaspoon vinegar cider, I also had to add a few degrees to the oven and a few minutes. The neighbors now ask for my bread!"
1.0,50.99?!?!?!?,"I wouldn't pay $50.99 for 12 of these if my mother was on fire and had to douse out the flames, that is a ridiculous price."
1.0,Lentils,"Not a good product, impossible to cook well! I will not buy this product again. Label recipe is useless. Try something esle!"
1.0,Bait And Switch,"I've purchased this water for a year now for the high alkaline content and the great taste.  Recently, I've been getting shipments that are NOT the New Zealand spring water but rather distilled water from Walnut Creek, California.  The taste difference IS night and day.  You can only tell the difference between the original New Zealand Spring water and the distilled water from Walnut Creek by looking at the label.  Therefore, I won't be buying any more Eternal Water on the internet; you must actually see the label to know you're getting what you paid for. This is dishonest on Eternal's part -- I hope they literally clean up their act."
5.0,Ahhh - a lovely cuppa!,A nice robust but soft on the palate taste - works really well with milk. Nothing better than a pot of tea brewed from PG tips.
5.0,AMAZING WATER!,"I drink a bottle a day! It taste just like water with no funny after taste or funny taste during drinking. I find it keeps me well energized, cuts out my cravings to overeat and it is full of so many minerals that my body is a well ran machine! I highly recommend this for any and everyone, especially people who get sick easily and have poor immune systems."
5.0,Great snack!,Good crunchy snack that is lightly salted. The pouches were big enough for several snacks throughout the day. Nice to have something that is healthy to snack on.
1.0,Very different taste,I bought this product hoping it would taste good.  Our family did not like the taste and subsequently we threw the packages out.  Maybe just our taste.  We do each Japanese and Chinese often and we have lived in China.
5.0,NOT GLUTEN FREE,"I HAD ORDERED BACK TO NATURE GLUTEN FREE CRACKERS EARLIER, I WRONGLY ASSUMED THE CHEESE CRACKERS WERE ALSO GLUTEN FREE. I WAS HAPPILY ENJOYING MY FIRST BITE WHEN I NOTICED THEY WERE NOT GLUTEN FREE! I WAS GLAD I DID NOT GO FURTHER INTO THE BOX BUT SAD WHEN I REALIZED THAT I COULD NOT EAT THE REST! THE TASTE WAS GREAT HOWEVER!"
1.0,Still have not received this product.  Ordered almost one month ago.,I am very disappointed that I have not recived this product as of this time.  My cats are awaiting their treats!
1.0,Not this brand.  They made me sick.,"Two times, a week apart, for no apparent reason other than snacking on this product, I became violently ill.  I researched the potential side effects and becoming violently ill is not supposed to be one of them.  I cannot return the bag for a refund (thanks, Amazon) so I have to throw it out.  I will be trying another brand soon."
1.0,Inedible Due to High Salt Content,"I wanted so badly to love these peanuts.  The texture is absolutely perfect.  However, the salt quickly sneaks up on your.  They are over salted to the point eating them becomes physically painful.  Huge failure that could easily be turned into a success."
1.0,Worse than regular beer!,"I have been searching for a good ginger beer, trying to find something that might compare to Bundaberg Ginger Beer, and was EXTREMELY disappointed with Reed's.  I was looking for that sweet gingery flavor, with a nice strong bite, and found Reed's to be nothing more than a bland drink with a lingering burn, NOT a bite, that resembled heartburn more than the gingery spice blast of a decent ginger beer.  Reed's was rubbery tasting, and tastes similar to a cheap non-alcoholic beer.  I literally couldn't finish my first bottle.  I pride myself on being able to eat and drink just about anything... so to be unable to finish this drink says a lot.  Oh Bundaberg, why aren't you sold in US grocery stores???"
1.0,Healthy but tastes pretty bad,"I bought some to try cause of the health benefits, I've heard that this is one of the healthier kinds of tea.  I dunno, guess I'm just not a Pu-Erh person.  It tasted awful to me.  Smelled funky too.  I would not reccomend it unless you're a very serious tea drinker."
5.0,"Good food for baby, without a lot of additives","Earth's Best gives the babies what they need - nutrition, without giving them what they don't need - sugar, colors, and other additives."
1.0,An abomination unto the lord. . .,"It is appalling to me that anyone would produce this product and sell it as food. What's more appalling is that people eat it and not only support the misguided notion that this is something that could be considered food, but even go so far as to say that they ENJOY eating it, AND DO SO ON A REGULAR BASIS. If this product were made of meat, I would be faced with no other viable conclusion than to think that it was made from the meat products rejected by a dog-food factory. But since it is not meat of any kind, what am I to think. . . ? Is this some kind of weird joke. . . ? What IS this THING in this can? And WHAT IS THAT SMELL? And this gravy of which they spake on the label, do they mean this slime? The slime that is more gross than spam slime? SO MANY QUESTIONS. . ."
5.0,Emeril's K-cups,"This is an item that I purchase at least every two months, it's a great tasting coffee and would recommend to everyone."
1.0,Worst taste. Bring back the old.,Kraft changed the bottle and taste. My kids and I don't like it and now I am searching for the last remaining bottles to buy before looking for another Catalina dressing. And it won't be this one. Why change a good thing?
5.0,Love em,"These Oral chews help keep my pets teeth clean between vet cleanings,even my vet noticed a difference in my pets teeth, once or twice a week."
1.0,WARNING ARSENIC,brown rice and rice in general has a lot of arsenic! any rice or brown rice syrup from texas and other southern states is dangerous! avoid this!!! when eating rice products buy rice from asia.
5.0,Silky smooth taste???,"I had to laugh at the product description. Those are the words to describe certain chocolates, not a water! Still, as a bit of a water taste snob, this is indeed great tasting water. We have well water that is absolutely vile to drink. I've found that there are great taste differences in bottled water, be it spring or filtered. I usually choose spring waters, but this product brings up the point that it can be produced anywhere, thus leaving a smaller carbon footprint. PH levels in the body are a hot issue right now...the new 'mangosteen', if you will. There are products to raise the pH of your own water, which is normally in the 7 range. If you've been following the pH trend in health, this water is a terrific beverage option."
1.0,Japanese Crap Do not buy this product,Wow this vinaigrette is probably the most disgusting thing i ever ate!  I just came back from Japan after staying there for more than a year i saw this a the local supermarket and bought it at 5$ which i pretty expensive for the quantity.  I thought that for 5$ i was betting on quality...  Wow was i wrong when i open the bottle an awful smell came out of it!  I currently live in canada and japanese steakhouse and real japanese salad dressing are two different thing. Wafu is not even in between!  My review?  Do not buy this product it is not worth it.
1.0,Misleading Advertisement,"This package of six boxes of forty eight bags per box is listed in the area of large tea bags suitable for making a gallon at a time of tea.  In fact it is just small single use bags.  The box and web page says ""family size"" bags.  There is nothing family sized about single use bags. This is a bad advertisement and you should not buy them.  Read these misleading ads carefully. I hope this company will go out of business."
5.0,Excellent snack bars!,"When I tasted my first Fiber One bar, the only thought running through my head was, ""why on earth didn't I buy more of these?""  These bars taste better than any high fiber bar out there.  I had to read and re-read the nutritional information.  There are 9 grams of fiber in each bar.  Imagine eating something REALLY good and good for you.  I can't say that about too many food items.  But, I gladly recommend this product.  Every flavor has an outstanding taste.  Even my three year old loves them.  Need I say anything more?"
5.0,"I just love it, and it saves me money","I can find this in any grocery store around where I live, but at 5-6 dollars for a 15 oz jar. This is 12, 15 oz cans for $2 each plus shipping. As far as hot goes it's just right for me and most people. I'm in, I'm there, this is the best deal I have found on Amamzon in a long time, and I have found a lot of them."
1.0,these are just gross,just plain GROSS!  They taste a little chewy and had a weird smell.
1.0,Lies,"Should not be labeled ""Key Lime Juice"" because it doesn't have Key Limes in it.  The actual labeling on the product is correct:  ""Key West Lime Juice"", meaning lime juice from Key West.  But if you are looking for juice that comes from Key Limes, this is not it.  Change the description!"
5.0,Tasty (Apparently) and a Good Value," Blue Buffalo Canned Dog Food, Beef Sirloin  is good stuff! We mix in a quarter of the can with some dry dog food (Blue Buffalo Adult Dog Dry Food, Chicken and Rice Recipe, 30-Pound Bag and our dog loves it. Because we get four meals out of a can, this is a pretty good value. The chicken flavored wet food is pretty good too."
1.0,Odd Taste,"Very thin consistency. About the same as corn syrup. But the REALLY bad thing is the shocking chemical taste! It's like sweet shampoo. I kid you not. It is THAT awful. I'd write it off as a bad experience if it was a 16 oz. bottle, but this is a half gallon of stuff you couldn't pay me to eat again."
1.0,VERY DISAPPOINTING!  Will NEVER order again,"I ordered this product - Lowry's Pork Rind - and received it promptly - within two days.  I have not been able to pop one bag!  They all stay flat - nothing works.  My microwave is not the problem as I cook lots of other things in it.  Looks to me that the product is not longer any good, by the comments.  They may have started out great, but it NO LONGER IS WORTH BUYING!"
5.0,Great Taste,Found this to be an excellent product for making cherry limeades to flavoring yogurt!  Have made this one of my pantry staples!
5.0,Great tasting natural sweetener with slow uptake for those who watch sugar levels.,"Since this product is from the agave plant, it is a safer choice for those who need to be careful with sugar levels in their blood. The taste is wonderful, I really don't know if we could distinguish the difference between a spoonful of this and a spoonful of regular sugar dissolved in water. The consistency is nice to use as a pancake syrup, or on toast if you have a sweet tooth. We use this exclusively as our sweetener of choice - not because we have to, but because we like to. All those fake sweeteners taste terrible. This stuff tastes great. You won't be disappointed."
5.0,My Favorite Sugar Alternative!,"I first used Smart Sugar about three or four years ago. I bought it at Raley's, which, unfortunately, has stopped carrying it, This is the only low-calorie sweetener that I can bear to use. It doesn't have a funny ""aftertaste"" that I usually sense in low-calorie alternatives. One of my FAVORITE things is that there is NO ASPARTAME! That stuff makes me physically ill. I have actually lost some weight using Smart Sugar instead of regular sugar. I hope it becomes available everywhere soon! I have only been able to get it from Amazon.com for quite a while, and, as of this post, they don't have it. I hope they haven't stopped stocking it as well!"
5.0,"Wow, great cheese and price",I use a lot of this Kraft cheese. Put it on almost anything. At the store you get half the cheese at almost the same price as Amazon. Great cheese and deal.
5.0,Amazingly good GF spaghetti,"This is the best gluten-free pasta I have ever tried, and I've tried a lot of them.  The spaghetti is pretty much the same as regular spaghetti.  It is not mushy, it doesn't stick together or fall apart, and it tastes great!!!  It's made in Italy where they know their pasta!  It's hard to believe it isn't the ""real"" thing."
1.0,WORST FRUIT SLICES CANDY IN THE WORLD!!!,"THESE ARE THE WORST FRUIT SLICES CANDY I HAVE EVER EATEN IN MY LIFE!!! THESE HAVE NO FLAVOR WHATSOEVER.....LIKE EATING PASTE.I DON'T KNOW WHO IS RESPONSIBLE FOR MANUFACTURING THIS HIGHLY INFERIOR CANDY PRODUCT,BUT I HOPE THEY GO OUT OF BUSINESS VERY SOON!!! THE BOSTON BRAND FRUIT SLICES YOU SEE ON AMAZON ARE FANTASTIC AND TASTE JUST THE WAY FRUIT SLICES CANDYB ARE SUPPOSED TO TASTE."
5.0,Getting our 20 month old to eat fruits and veggies,"Our 20 month old loves these pouches.  He will eat fruits and vegetables on his own, but we use this as a snack on the go, or for when he's grumpy and needs a healty treat.  We tell him its ""juice"" and he loves it.  Perfect size and amount.  Highly recommended."
5.0,"Looks nice, sturdy, works great!","I bought this item over the keurig brand carousel because it was taller and more narrow.  For such a great price I worried that it wouldn't be sturdy but it is.  It is well-made, spins smoothly, and is sturdy.  On top of that it looks very nice on the countertop.  A cute way to have a variety of k-cups at hand."
5.0,"Great Taste,Great Price,","Tried a box at BJ's Wholesale outlet. I wasn't sure about the product and you can return anything you don't like there. A $10 difference lower in price for the 80 count box as compared to Newmans or Green Mountain bold 80 count coffee. What a pleasant surprise. Great taste, rich flavor at small & medium setting. Who cares what the container looks like??? It tastes good and its much less expensive that comparitive brands. Most medium to full flavor coffee in the K cup or pod version are weaker when pushed to the Large setting.. This one is as well. Obviously the more water processed through a medium blend of coffee in a premeasured container the weaker it will be...Make two cups at medium setting and you should be happy."
5.0,Tried first bottle of OKF at Trader Joe's,"I've had a lot of stomach issues for about the last 10 years.  Last 5 considerably worsening each year. Daily nausea, excessive gas and constipation.  Overall generally not feeling well at all.  Our first trip to Trader Joe's (Health food grocery store) I saw this product and thought I'd try it.  Had exceptional relief for several  days.  It tastes awesome and I'm extremely picky about tastes.  So have been trying to see if I could find it less expensive and closer to me.  Hurray. Success!!!"
5.0,Really Good ...,One of the things I really appreciate about these (good sized) three ounce bags of veggie sticks is the following: Servings per container: 3 Calories per serving: 140  They taste great and a one ounce serving is generous. They really are a good snack and a good value.
5.0,Great tasting but confusing cost/size ratio...,"These are great tasting meat substitutes !! What isn't great is that a 20-ounce can costs $18.58.  A 50-ounce can costs 11.55 !!!  Something is really messed up in the comparative pricing.  Other than that, these are great.  I hate that we have to buy a 50-ounce can (which is way more than we need) in order to be financially prudent."
1.0,highway robbery,This vendor charges over double the market price.  Vote with your dollars/euros/whatever and kick people like this out of the market.
5.0,MY FAVORITE ACAI JUICE!,"I don't know what the bad review is talking about.... I am a big fan of Acai Roots and I just LOVE all of their products! I know what a good Acai juice tastes like and comparing theirs with the other brands, they definitely have the best taste and there is no other juice added like he said. They are the real thing!! I used to buy them at Costco and I'm happy I found it here at Amazon! BEST ACAI JUICE IN THE MARKET!!!"
5.0,Blue Agave,"Very pleased, taste great & like that it doesn't spike your blood sugar as other sugars do.  We use in our coffee everyday, but many other uses for it besides that.  Also very good price."
5.0,delicious treat to eat,"I love oatmeal raisen cookies so when i heard that Quaker was selling a new soft baked cookie i was ready to try it. I was a little skeptical that it wouldn't live up to my expectations ,but Im glad i was wrong. It's so soft and yummy . it literally could have been a homemade cookie. its a great treat and i will definitely be buying more."
1.0,RECEIVED ONLY ONE BOTTLE -- TWICE,"BEWARE - I WAS SENT ONLY ONE BOTTLE FOR THE $14. I CONTACTED AMAZON, THEY SAID THEY WOULD CORRECT AND RE-SEND THE ORDER -- ONLY TO SEND ME A SINGLE BOTTLE AGAIN. ORDER NOW CANCELLED. NICE PRODUCT -- BUT WATCH OUT."
1.0,Purina should be ashamed for even putting this product on the market,"Just because a dog will eat something, doesn't mean it should.  I think Purina should be ashamed for putting this product out there, but I think they obviously only care about making a buck, not the health of animals and what their product might do to them. Looking at this bag and the ingredients made me angry.  The bag shows big chunks of beef, carrots, peas, etc.  What are the first three ingredients though?  In order they are ground yellow corn, chicken by-product meal, and corn gluten meal. Followed by whole wheat flour, animal fat preserved, rice flour, beef, soy flour, and it goes on with more digusting ingredients that don't belong in dog food including sugar and artifical colors.  I won't feed this filler/junk food to my dogs, they deserve better."
5.0,Awesome,This is a family and friends favorite. We have tried almost all of the different flavors and this one is great. the price of it here will make it easier to keep in stock in the home!
1.0,I really wanted to like these,"Bought these for dd for daycare without seeing it had peanut butter ( my mistake and not impacting review). I tried these. The taste is a bit off. Jelly tastes a bit off and there I really no nutrition. I am tired of seeing organic snacks with sugar as highest number in nutrition description. Going to have to make time and cook myself more. Too bad, as continence of something nutritious would be nice..."
5.0,Healthy Convenience,"I took these on our recent vacation and they were so handy while we were stuck in the airport.  It is nice to have something healthful to eat while surrounded by processed food options.  They are super filling and delicious.  If you haven't tried them yet, it is called granola but it is really shaped into bars which I think makes it easier to eat."
5.0,TASTE EXACTLY LIKE MCDONALD'S COOKIES!!!,These Newton Fruit Thins in Cranberry Citrus Oat flavor taste just like the McDonaldland cookies I used to eat in the 70's! I love these!!!
1.0,Marzipan Tastes Bland and Contains Sorbitol,"Normally I buy almond paste, not prepared marzipan, but thought that just this once I could save a little time. There is no one to blame but myself for not reading the ingedient list before buying. This is what happens when you rush. By now I should know that when it comes to even old stand-by products, nothing can be taken for granted.  The ingredient list begins as expected, sugar, blanched almonds, water but then it veers off into new frontier - sorbitol -- then corn syrup and potassium sorbate finish the list. Potassium sorbate is used as a preservative to extend shelf-life, and perhaps is necessary, but why is sorbitol added to something as straightforward as marzipan? If this wasn't enough, the marzipan does not have a good almond flavor -- it is incredibly bland.  Ironically, and a bit off the subject, I just read a book about dental health that discussed how damaging sorbitol is to the teeth and gums even though it is a popular sweetener in sugar-free gums and mints. The dentist who wrote the book stated that the bad bacteria in the mouth actually adapt to sorbitol quickly and begins to feed on it with greater frenzy than pure sugar.  Whether the dental issue is of concern, sorbitol is widely known to cause intestinal distress in some people, and people with irritable bowel syndrome limit or completely avoid the product. Bottom line is that sorbitol isn't usually found in marzipan and unless this ingredient is specifically desired by the purchaser, I'd steer clear for that reason alone.  I cook and bake in order to avoid additives, so this marzipan is particularly unacceptable for my use. Tallying up the plusses and minuses we have on the plus side, it is the correct texture for shaping and rolling out. On the minus side -- it is incredibly bland and is chemically enhanced with an artificial sweetener. Never again."
5.0,Love these rubs!!!!,"I was fortunate to have received a free sample of these rubs and we love them! They're great for grilling with chicken, burgers, steak and anything else you like to add flavor to. The containers are large enough to last you for a while and I will definitely be ordering more once we run out. Thank you BBQ Bros Rubs for my free samples and I recommend your product to everyone!"
5.0,boooyah,"These sardines are fantastic - probably why they stopped offering them. Actually, they spoiled me from regular sardines; after you eat these, the skin and tails and bones of regular sardines tend to make you quesy.  These have a mild flavor, so even if you don't like sardines, you may changer your opinion after these...  I eat them, one tin per day, at work - much to the dismay of my co workers.  Then I crumble some whole wheat crackers and spices into the fish oil and olive oil left over, let it absorb, and chug it down! Omega-3 fatty oils, protien, and olive oil! You cannot go wrong, and here in Butler (30 miles N. of Pittsburgh) Giant Eagle charges 2.99 per tin...so you save as well.  Eat. Get Healthy. Annoy your weak-stomache co-workers (smak your lips, smile, sigh as you eat). Can you go wrong? I think not."
5.0,Really great for baking,"For me, the only use for this is baking or making chocolate sauces out of it.  It's just too bitter to eat plain and it doesn't really taste much until your mouth melts it.  That is, if you chew it up, it's pretty much tasteless until it melts in your mouth.  At that point, however, it's just too bitter for me.  I made a chocolate sauce with cream and a little sugar and it was wonderful over ice cream, and even just plain (the little bit of sugar cuts the bitterness a lot).  By the way, be prepared to chop the pieces.  As is, they are a little large for anything, unless you're just going to melt them in a double boiler."
5.0,Tastes Great,I add this to sugarfree cappuchino and it tastes great.  It tastes just like the brands in the gas stations when I get a cappuccino there.
5.0,yummo,great product - absolutely delicious- tastes so much like desert but mostly protein! how great is that!
5.0,Good quality cat food at budget friendly price,"I can't say enough about Felidae. It's my favorite budget friendly quality cat food. There are better brands, that's for sure, but they will also help break the bank. Good quality ingredients- no by products, corn, or wheat. High protien. Cranberries for urinary health. The targeted urinary ph for this food is 6.0 which is perfect. These people care about their product and the animals that eat it. This is a good food and you can feel good about feeding it to your cat. :)Good health starts with quality food, and prevents expensive vet bills!"
1.0,BAD STUFF,This chili gives vegetarian a bad name and its not because it has no salt added.  This stuff just taste bad.
1.0,so disappointed,"its first time write a review,ordered 5 boxes of them (120 packages), expiration till Jan.7 2012 only,and its not returnable. so disappointed."
1.0,What happened to the taste?,"I was a fan of Senseo coffee for many many years. It is a fourth coffee machine in my house, many of my friends bought senseo coffee machine on my recommendation. I loved senseo medium roast coffee for the taste, which was very similar with Starbucks latte, my favorite. What happened? I bought 6 packs of Senseo Medium Roast, and it tastes very strange. Like old, cheap and poorly preserved coffee. Unfortunately, I already scheduled next delivery of 6 packs (I drink a lot of coffee). What is I am going to do, is to cancel next schedule and go to internet to find another good coffee company."
1.0,"DON""T BUY NATURA PRODUCTS FOR DOGS AND CATS***CAUSING HEATH PROBLEMS***","I put my cat on Evo for 2 years, she got a urinary tract infection.I had to change her food. Right after I changed her food. I found out Evo is terrible for animals, the food is causing alot of health problems and death.I got a letter in the mail stating there is a lawsuit against Innova Evo plus all Natura products.I'm currently in the lawsuit myself.. Evo lied about the ingredients in all their products...DO NOT BUY EVO AND NATURA PRODUCTS!!! (such as Innova Evo, California Natural, Healthwise, Mother Nature, and Karma Dog)Google it, it's called PetproductsSettlement.com.. It's for a $2,150,000 settlement"
1.0,so sad about this one,"We loved the Hodgson Mill 9 grain and honey wheat breads but I hope I just got a bad box in the case of the Jalapeno Cornbread I ordered.  There is so much baking powder and/or soda in this mix that it tastes like soap.  No Jalapeno flavor.  I'm going to add a can of corn, some mild cheddar and some jalapenos to the next box I open and hope that it improves; no one ate more than one bite of the first box I baked.  I just can't justify giving more than one star to a mix you have to remake."
5.0,Strong stuff!,Arrived in a sealed bag and when used it was clearly a stronger variety than one gets in pet stores.  Cats have been stoned since.
5.0,Delicious!,"My boyfriend and I recently moved to the US and were very disappointed by the American style chorizo (yuck!). We decided to try ordering some stuff online and wow this product is probably one my best purchases ever! At first we bought three sausages - then once they were gone we bought five that we are currently working our way through. This product is the real stuff: it has wonderful taste (smoked paprika yuuum...) and just the right firm texture. Do buy the hot version though - don't worry, it's not very hot :-)"
5.0,Addicting,"I bought these thinking that two pounds would last us a month.  Try 3 days.  They pack some punch but won't rip your nose off with evey bite, and the peaqnut/wasabi flavor mix is great."
5.0,Great candy!,"I ordered these for my husband as part of his Christmas gift. He's always complaining that he can't find sugar-free black licorice. He absolutely loves them, says they taste like the ""real thing"". Very fast shipping."
5.0,Great Shortbread Cookies,"If you like the flavor of lime, you'll love these cookies. Not too sweet and the scent of lime makes your mouth water. It is hard to limit myself to consume only one package a day."
5.0,Love this mix - great price too,"This is a great mix and very convenient.  Makes great cookies in a hurry, especially when I am out of the base ingredients.  Buying 6 boxes on Amazon is much cheaper than buying in the grocery store.  The only downside is that I eat more cookies when I always have the mix on-hand."
1.0,Ants don't seem to like it,"The ants I got in my apartment don't seem to be interested in the bait, I've not seen a single one entering the trap and I watched them for a while & multiple times."
1.0,Dog likes it but after reading the label I don't,"My bad - I got sucked in by the Chef Michael name. I know he is a famous chef so I thought he would have the integrity to only sell his name to a high quality product line. After reading the ingredient list I'm not so sure. Too much soy, not enough protein. Plus all the low quality by-products in it, I'm not going to let my dog eat anymore. Sure my dog loved it but I love him too much to feed him garbage."
1.0,Skip it!,"Ordered these because I was super excited for new flavor. HUGE disappointment! Absolutely no candy corn flavor. The price is outrageous, I thought I was ordering at least a box with four packages of cookies. Save your money, or if you really want to try them, go to Target, they are available, exclusively, there."
5.0,Great any time of year!,"The taste of Swiss Miss Hot Cocoa is so good, it's hard to resist. But, since it's such a good source of calcium, we have the perfect excuse to enjoy it, anyway! Not only is it good mixed as per the package directions, it's fabulous added to a mug of hot coffee -- every bit as good as the expensive coffe beverages at Star*****!!  The 60-pack box is a bargain, and I promise you it's never gone stale in my house. Take it to work or school -- yummm!!"
5.0,Vegan Organic Raw Kosher Choice,"Vegan. Organic. Raw. Kosher. Caring company. Agave and cashew is a great combo. Taste the love. Have ordered multiple times. Product fresh every time. Also sent as gifts to family and friends. A personal favorite. Six star company and products. This review is out there for those for whom this makes a difference. See all of my reviews and the vegancompassion Profile for more great choices. Check out ""Vegan Grocery Favorites"" and ""Vegan Grocery Top Ten"" & all the other helpful ""Vegan Grocery"" Listmania. Your input counts and will be greatly appreciated to benefit the search of others. Thank you."
5.0,Best K-Cup coffee I have had so far,Caribou coffee is the next best thing to roasting the coffee beans yourself.  I highly recommend caribou coffee when using the keurig machine.
5.0,Inka Corn...food of the GODS!,"If you like CORN NUTS you'll LOVE INKA CORN! And once you tried it, you won't want to settle of Corn Nuts again. I wish this snack was easier to find in grocery and convenience stores. But at least you can buy it on line now."
1.0,Worst coffee ever,This is the worst coffee I have ever smelled and tasted.  It doesn't have a good aroma.  It smells and tastes like it has a strange chemical in it.  It doesn't smell anything like most gourmet coffees.  It definitely didn't have the butter rum smell or flavor that would be expected given that it was labeled as Butter Rum Creme.  Save your money.  Buy a different brand.
1.0,So so,This is twice as expensive as basic box Mac and Cheese.  It is just so so in taste.  If you check the ingredients it is not much different than other Mac and Cheese.  The cost does not justify the ordering.  I will not be ordering from Amazon again.  The cost is much cheaper at a big box chain.
5.0,5 Stars...but read on...,"I gave this product 5 Stars because well...it's awesome. The value was incredible, and the variety was superb.  My only gripe...if you even want to call it that...is that this is advertised as Crazy Cups 70-Pack that comes in those pretty display boxes. I know the difference between these, because I ordered this 70-Pack not to long ago for about $10 more!  That's pretty much why I gave it 5 Stars. I got 70 awesome K-Cups as advertised, they just happen to be thrown into a USPS flat-rate box of sorts. I can assure you though there was not ONE K-Cup damaged, and I'm enjoying the hell out of these. So again, 5-Stars all around, just be aware you probably won't get them in those 2 display boxes, and that could really piss you off if you happen to be gifting these to somebody, MAYBE?  Personally? I'll be buying again for sure."
1.0,False advertising.,"This is not zero calorie nor actually sweetened with stevia! This is sweetened with a sugar alcohol, with a little stevia added. Each can has 50 calories and for a diabetic this stuff raises your blood sugar almost as bad as any regular sweetened with sugar soda. And the sugar alcohol gives you horrible gas. A big thumbs down to their false advertising."
1.0,Not too good,Was looking forward to this item. Like chickpeas but found these to be kind of spongy and not very good tasting. Will not purchase it again.
5.0,Great product,"I agree with the 5-star reviews for this product.  These noodles are excellent tasting, have a good texture and cook up very quickly (4 to 5 min in boiling water).  I have not really bought many soba noodles in the past, so I'm not sure how these US-made noodles compare to authentic Asian soba.  It is easy to saute some veggies and make a quick sauce (or use a purchased sauce), for a weeknight meal.  I often cook the whole box then divide in half, making 1/2 as a hot stir-fry dinner and then save the other 1/2 (plain noodles) to use the next day.  I put the left-over noodles in the microwave for a brief time (just to bring them to room temp) then assemble the salad.  Amazingly, the noodles taste fresh and good the next day, possibly better tasting than freshly cooked.  I'm sure they would make a great noodle soup, although I have not tried yet.  Ingredients are unbleached enriched wheat flour, buckwheat flour, water, egg whites, salt.  They seem pretty healthy and have a decent amount of fiber, although they are probably not as healthy as a 100% whole wheat pasta, for example.  For the 12 oz box, 6 servings/box, amounts per serving: 200 cal (10 from fat), 3g fiber, 390mg sodium, 8g protein, 10% iron.  Also, great price from Amazon."
5.0,I love this gum!,"My local stores no longer carry this flavor gum. Sad. It is one of the few pleasant-tasting sugarless chewing gums you can still find. Americans have developed such a taste for obnoxious, exploding, over-flavored, ultra-sour or painfully hot gum flavors. Gum that makes a person's eyes water and their breath fill a room. Trident Wild Blueberry Twist is simply and pleasantly fruity, with a wonderful blueberry-pomegranate flavor that lasts a very long time. Nothing fancy or extreme about it."
5.0,Love it!,"This product is so much better than honey. Love it's light flavor, easy use, and perfect size."
1.0,Don't buy,"This is false advertising. It is one overpriced bottle, not a case as described in the listing. Don't buy it"
5.0,Not Just For Babies,"I first discovered this product while stocking the baby food aisle of my local Wal-Mart where I work. I'm always on the look-out for low fat, low carb products and this fits the bill. There are 12 foil wrapped Mum-Mums containing 2 crispy wafers each measuring 4 1/2 by 1 1/2 inches.A serving is two of these easy to open packets,just zip them open from top to bottom along the side. They dissolve easily in your mouth and are still sturdy enough to spread peanut butter between for a sandwich that even a toddler would love, or top with tuna or egg salad without getting soggy. Great as a salsa dipper.They are bland taste wise but they're made of rice and they're a healthy alternative."
1.0,the nadir of this company's products,"Ugh!  I sure had high hopes and I was bitterly disappointed.  These things were just nasty.  I LOVE their other products (""just the cheese"") but not these things.    I even heated them up as suggested but they didn't get better."
5.0,Great Organic Pasta,"This is a wonderful product ,  Naturally low in fat no saturated and a multible use product.  Can be used just with butter or sauce or used as a add in for soup and other product. These work well with some knorr products."
5.0,Herb-Ox Vegetable Bouillon Cubes,"Excellent! I use it in soups, mashed potatoes, lentils, beans, etc.  It makes everything taste so good and it provides just the right amount of salt.  I don't have to add anything else."
5.0,Fantastic little things!,I use them for decorating cookies. They are wonderful. I can't say enough about the ease of use and perfect results. The fine tip makes decorating very small pieces easier than using icing.
1.0,UGH!!!!,"After recently finding out I have a wheat (or gluten)intolerance, I am having to give up everything I like to eat and/or finding gluten-free substitues.  In my journey I have run across these granola bars and I must say, ""Wow!  Those really SUCK!"".  I mean, come on.  If you can't make something taste good with peanut butter than don't even try.  They are truly terrible and the person who titled their review ""inedible"" had it pretty much correct.  If you are already on a gluten free diet and are use to tasteless food items that seem to be made out of sawdust then you might agree with the people who liked them.  There has to be better out there."
1.0,I GOT A WILD HARE,"...and bought these as an add on item for an inexpensive price. Unless you take into account that I bought three bags, opened one and tried it, then threw them all out. Not recommended."
1.0,19 Grams of sugar!!! Wash it down with a coke why don't you,"Over half of the calories in this come from added sugar. While oatmeal is healthy for you, Quaker dumps a ton of sugar in to these things to make them palatable. 19g of sugar to be exact. A can of coke has 39g of sugar! Yuck, if you are looking for a high nutrition, healthy, low calorie food, look elsewhere. Over half of the calories in this come from added sugar."
